sourceLanguage,targetLanguage,status,count,translators
ady,tr,draft,1,1
af,ar,draft,1,1
af,ca,draft,2,1
af,ckb,draft,1,1
af,en,draft,8,8
af,fa,draft,1,1
af,fr,draft,1,1
af,kn,draft,2,2
af,nl,draft,2,2
af,nso,draft,1,1
af,ro,draft,1,1
af,tr,draft,2,2
af,uk,draft,1,1
af,xh,draft,2,1
ak,en,draft,1,1
am,en,draft,8,4
am,gd,draft,1,1
am,it,draft,1,1
am,om,draft,6,2
am,pt,draft,1,1
am,so,draft,1,1
am,sv,draft,1,1
am,zh,draft,1,1
an,ar,draft,1,1
an,ca,draft,2,2
an,en,draft,1,1
an,es,draft,4,4
an,ro,draft,1,1
ar,am,draft,1,1
ar,ary,draft,19,14
ar,arz,draft,18,11
ar,az,draft,2,2
ar,ban,draft,1,1
ar,be,draft,1,1
ar,bg,draft,4,1
ar,bn,draft,68,22
ar,bs,draft,1,1
ar,ca,draft,1,1
ar,ckb,draft,101,44
ar,cr,draft,3,2
ar,cs,draft,3,2
ar,de,draft,16,15
ar,dv,draft,2,2
ar,el,draft,1,1
ar,en,draft,427,374
ar,es,draft,9,9
ar,fa,draft,42,35
ar,fr,draft,56,43
ar,gl,draft,1,1
ar,ha,draft,5,4
ar,he,draft,10,7
ar,hr,draft,1,1
ar,hyw,draft,5,1
ar,id,draft,4,4
ar,ig,draft,1,1
ar,it,draft,3,2
ar,iu,draft,6,5
ar,ja,draft,2,2
ar,jv,draft,1,1
ar,kab,draft,1,1
ar,kcg,draft,1,1
ar,ko,draft,1,1
ar,ku,draft,5,5
ar,ml,draft,4,3
ar,mn,draft,1,1
ar,ms,draft,14,7
ar,nl,draft,1,1
ar,nn,draft,1,1
ar,nqo,draft,2,2
ar,om,draft,7,2
ar,pnb,draft,1,1
ar,pt,draft,3,3
ar,qu,draft,1,1
ar,rmy,draft,1,1
ar,ru,draft,12,3
ar,sco,draft,1,1
ar,shi,draft,1,1
ar,simple,draft,1,1
ar,sk,draft,2,1
ar,so,draft,7,4
ar,sv,draft,2,2
ar,sw,draft,4,1
ar,te,draft,1,1
ar,tg,draft,1,1
ar,th,draft,6,5
ar,tr,draft,17,15
ar,ug,draft,1,1
ar,ur,draft,6,6
ar,uz,draft,35,26
ar,zh,draft,5,4
arc,he,draft,1,1
arc,ur,draft,1,1
ary,ar,draft,3,2
